bin_low [GeV],bin_high [GeV],nue_flux / 50 MeV / cm2 / 2.4e20 POT
0.25,0.3,1.33053e+08
0.3,0.35,1.27015e+08
0.35,0.4,1.22725e+08
0.4,0.45,1.21546e+08
0.45,0.5,1.198e+08
0.5,0.55,1.16949e+08
0.55,0.6,1.15865e+08
0.6,0.65,1.10392e+08
0.65,0.7,1.06872e+08
0.7,0.75,1.02254e+08
0.75,0.8,9.74288e+07
0.8,0.85,9.23602e+07
0.85,0.9,8.63465e+07
0.9,0.95,8.12523e+07
0.95,1,7.5111e+07
1,1.05,6.91488e+07
1.05,1.1,6.36463e+07
1.1,1.15,5.7403e+07
1.15,1.2,5.28967e+07
1.2,1.25,4.70845e+07
1.25,1.3,4.17323e+07
1.3,1.35,3.71417e+07
1.35,1.4,3.36998e+07
1.4,1.45,2.94419e+07
1.45,1.5,2.58357e+07
1.5,1.55,2.33618e+07
1.55,1.6,2.06833e+07
1.6,1.65,1.86691e+07
1.65,1.7,1.63685e+07
1.7,1.75,1.51059e+07
1.75,1.8,1.34385e+07
1.8,1.85,1.20369e+07
1.85,1.9,1.09481e+07
1.9,1.95,9.65983e+06
1.95,2,9.27659e+06
2,2.05,7.98761e+06
2.05,2.1,7.19526e+06
2.1,2.15,6.61387e+06
2.15,2.2,6.03949e+06
2.2,2.25,5.74985e+06
2.25,2.3,5.0795e+06
2.3,2.35,4.59317e+06
2.35,2.4,4.25445e+06
2.4,2.45,4.0521e+06
2.45,2.5,3.92935e+06
2.5,2.55,3.54246e+06
2.55,2.6,3.06045e+06
2.6,2.65,2.85432e+06
2.65,2.7,2.61866e+06
2.7,2.75,2.59639e+06
2.75,2.8,2.23551e+06
2.8,2.85,2.22017e+06
2.85,2.9,2.01541e+06
2.9,2.95,1.87176e+06
2.95,3,1.71048e+06
3,3.05,1.50287e+06
3.05,3.1,1.46206e+06
3.1,3.15,1.36437e+06
3.15,3.2,1.09717e+06
3.2,3.25,1.18386e+06
3.25,3.3,1.07412e+06
3.3,3.35,897955
3.35,3.4,1.62273e+06
3.4,3.45,837021
3.45,3.5,761698
3.5,3.55,695601
3.55,3.6,724423
3.6,3.65,596252
3.65,3.7,691964
3.7,3.75,591642
3.75,3.8,560257
3.8,3.85,439318
3.85,3.9,525688
3.9,3.95,414601
3.95,4,456421
4,4.05,353141
4.05,4.1,374585
4.1,4.15,368250
4.15,4.2,238031
4.2,4.25,325725
4.25,4.3,261841
4.3,4.35,313049
4.35,4.4,181604
4.4,4.45,239769
4.45,4.5,169137
4.5,4.55,127770
4.55,4.6,200823
4.6,4.65,115657
4.65,4.7,106391
4.7,4.75,227629
4.75,4.8,115635
4.8,4.85,205236
4.85,4.9,84810.7
4.9,4.95,75994.5
4.95,5,135274
5,5.05,110833
5.05,5.1,86376
5.1,5.15,68532
5.15,5.2,61905
5.2,5.25,137765
5.25,5.3,53317.1
5.3,5.35,59157.4
5.35,5.4,77285.3
5.4,5.45,22845.8
5.45,5.5,144234
5.5,5.55,40397.7
5.55,5.6,51932.2
5.6,5.65,15867.2
5.65,5.7,59664.4
5.7,5.75,45302.5
5.75,5.8,21320
5.8,5.85,89766.7
5.85,5.9,0
5.9,5.95,58667.3
5.95,6,39138.1
6,6.05,33786.3
6.05,6.1,8659.16
6.1,6.15,17180.1
6.15,6.2,22000.1
6.2,6.25,48566.9
6.25,6.3,0
6.3,6.35,12810.6
6.35,6.4,46928
6.4,6.45,11689
6.45,6.5,0
6.5,6.55,27528.3
6.55,6.6,27929
6.6,6.65,39341.2
6.65,6.7,0
6.7,6.75,10775.7
6.75,6.8,0
6.8,6.85,15105.2
6.85,6.9,18280.6
6.9,6.95,0
6.95,7,0
7,7.05,0
7.05,7.1,0
7.1,7.15,0
7.15,7.2,0
7.2,7.25,0
7.25,7.3,0
7.3,7.35,0
7.35,7.4,0
7.4,7.45,0
7.45,7.5,0
7.5,7.55,15928.8
7.55,7.6,0
7.6,7.65,0
7.65,7.7,16654.1
7.7,7.75,0
7.75,7.8,0
7.8,7.85,0
7.85,7.9,0
7.9,7.95,18851.6
7.95,8,0
8,8.05,0
8.05,8.1,0
8.1,8.15,0
8.15,8.2,0
8.2,8.25,0
8.25,8.3,0
8.3,8.35,0
8.35,8.4,0
8.4,8.45,18171.1
8.45,8.5,0
8.5,8.55,0
8.55,8.6,0
8.6,8.65,0
8.65,8.7,0
8.7,8.75,0
8.75,8.8,19160.7
8.8,8.85,28781.6
8.85,8.9,0
8.9,8.95,0
8.95,9,0
9,9.05,0
9.05,9.1,0
9.1,9.15,0
9.15,9.2,0
9.2,9.25,0
9.25,9.3,0
9.3,9.35,0
9.35,9.4,0
9.4,9.45,0
9.45,9.5,0
9.5,9.55,0
9.55,9.6,0
9.6,9.65,0
9.65,9.7,0
9.7,9.75,0
9.75,9.8,0
9.8,9.85,0
9.85,9.9,0
9.9,9.95,0
9.95,10,0
10,10.05,0
10.05,10.1,0
10.1,10.15,0
10.15,10.2,0
10.2,10.25,0
10.25,10.3,0
10.3,10.35,0
10.35,10.4,0
10.4,10.45,0
