bin_low [GeV],bin_high [GeV],nuebar_flux / 50 MeV / cm2 / 2.4e20 POT
0.25,0.3,7.58157e+07
0.3,0.35,7.49765e+07
0.35,0.4,7.36191e+07
0.4,0.45,7.24444e+07
0.45,0.5,7.11695e+07
0.5,0.55,6.96585e+07
0.55,0.6,6.65941e+07
0.6,0.65,6.43878e+07
0.65,0.7,6.13137e+07
0.7,0.75,5.85512e+07
0.75,0.8,5.48292e+07
0.8,0.85,5.22113e+07
0.85,0.9,4.8672e+07
0.9,0.95,4.48313e+07
0.95,1,4.18749e+07
1,1.05,3.85357e+07
1.05,1.1,3.63075e+07
1.1,1.15,3.40839e+07
1.15,1.2,3.03911e+07
1.2,1.25,2.7389e+07
1.25,1.3,2.5197e+07
1.3,1.35,2.34182e+07
1.35,1.4,2.11654e+07
1.4,1.45,1.92939e+07
1.45,1.5,1.74721e+07
1.5,1.55,1.63116e+07
1.55,1.6,1.4944e+07
1.6,1.65,1.34971e+07
1.65,1.7,1.26117e+07
1.7,1.75,1.13896e+07
1.75,1.8,1.07714e+07
1.8,1.85,9.69931e+06
1.85,1.9,9.70254e+06
1.9,1.95,8.38486e+06
1.95,2,8.08219e+06
2,2.05,7.09459e+06
2.05,2.1,6.71439e+06
2.1,2.15,6.22986e+06
2.15,2.2,5.80538e+06
2.2,2.25,5.32441e+06
2.25,2.3,5.0309e+06
2.3,2.35,4.57722e+06
2.35,2.4,4.14053e+06
2.4,2.45,4.06575e+06
2.45,2.5,3.7336e+06
2.5,2.55,3.55431e+06
2.55,2.6,3.07992e+06
2.6,2.65,2.85401e+06
2.65,2.7,2.69843e+06
2.7,2.75,2.65182e+06
2.75,2.8,2.37304e+06
2.8,2.85,2.25971e+06
2.85,2.9,2.13021e+06
2.9,2.95,1.77301e+06
2.95,3,1.91096e+06
3,3.05,1.67286e+06
3.05,3.1,1.62647e+06
3.1,3.15,1.41324e+06
3.15,3.2,1.38092e+06
3.2,3.25,1.25841e+06
3.25,3.3,1.19804e+06
