# This file contains the values for the additional smearing matrix Ac for the MicroBooNE electron-neutrino charged-current inclusive cross section measurement.
# 
# Electron/Positron Energy
Bin i, Bin j, AC
1, 1, 0.2969
2, 1, 0.1693
3, 1, 0.0268
4, 1, -0.0074
5, 1, -0.0061
6, 1, -0.0259
7, 1, 0.0180
1, 2, 0.3822
2, 2, 0.3113
3, 2, 0.1800
4, 2, 0.0422
5, 2, -0.0217
6, 2, -0.0093
7, 2, 0.0057
1, 3, 0.2807
2, 3, 0.3958
3, 3, 0.4300
4, 3, 0.2137
5, 3, 0.0291
6, 3, 0.0447
7, 3, -0.0291
1, 4, 0.1310
2, 4, 0.1689
3, 4, 0.2612
4, 4, 0.3459
5, 4, 0.2474
6, 4, 0.0289
7, 4, -0.0359
1, 5, -0.0570
2, 5, -0.0738
3, 5, 0.0335
4, 5, 0.3302
5, 5, 0.4238
6, 5, 0.1321
7, 5, 0.0046
1, 6, -0.3115
2, 6, -0.1372
3, 6, 0.0194
4, 6, 0.0222
5, 6, 0.1876
6, 6, 0.4698
7, 6, 0.2365
1, 7, 0.2203
2, 7, 0.1084
3, 7, -0.0081
4, 7, -0.0040
5, 7, 0.0826
6, 7, 0.3025
7, 7, 0.7431
#
# Electron/Positron Angle
Bin i, Bin j, AC
1, 1, 0.3719
2, 1, -0.0169
3, 1, -0.0095
4, 1, -0.0955
5, 1, 0.0857
1, 2, 0.0900
2, 2, 0.4920
3, 2, 0.0214
4, 2, 0.2243
5, 2, 0.1972
1, 3, 0.0085
2, 3, -0.0954
3, 3, 0.5471
4, 3, 0.3368
5, 3, 0.1320
1, 4, -0.2228
2, 4, 0.2246
3, 4, 0.3103
4, 4, 0.3856
5, 4, 0.1427
1, 5, 0.7076
2, 5, 0.3508
3, 5, 0.0858
4, 5, 0.1040
5, 5, 0.3975
