# This file contains the values for the unfolded covariance matrix for the MicroBooNE electron-neutrino charged-current inclusive cross section measurement.
# 
# Electron/Positron Energy
Bin i, Bin j, Covariance
1, 1, 1.6960
2, 1, 2.2350
3, 1, 0.9086
4, 1, 0.3579
5, 1, 0.0844
6, 1, -0.0063
7, 1, 0.0116
1, 2, 2.2350
2, 2, 3.3259
3, 2, 1.6634
4, 2, 0.6494
5, 2, 0.1439
6, 2, 0.0205
7, 2, 0.0125
1, 3, 0.9086
2, 3, 1.6634
3, 3, 1.1028
4, 3, 0.5219
5, 3, 0.1608
6, 3, 0.0366
7, 3, 0.0037
1, 4, 0.3579
2, 4, 0.6494
3, 4, 0.5219
4, 4, 0.4410
5, 4, 0.2292
6, 4, 0.0267
7, 4, 0.0039
1, 5, 0.0844
2, 5, 0.1439
3, 5, 0.1608
4, 5, 0.2292
5, 5, 0.1568
6, 5, 0.0196
7, 5, 0.0044
1, 6, -0.0063
2, 6, 0.0205
3, 6, 0.0366
4, 6, 0.0267
5, 6, 0.0196
6, 6, 0.0076
7, 6, 0.0019
1, 7, 0.0116
2, 7, 0.0125
3, 7, 0.0037
4, 7, 0.0039
5, 7, 0.0044
6, 7, 0.0019
7, 7, 0.0020
#
# Electron/Positron Angle
Bin i, Bin j, Covariance
1, 1, 0.0539
2, 1, 0.1344
3, 1, 0.1900
4, 1, 0.1922
5, 1, 0.8153
1, 2, 0.1344
2, 2, 1.6390
3, 2, 0.5757
4, 2, 3.0315
5, 2, 3.9731
1, 3, 0.1900
2, 3, 0.5757
3, 3, 4.2600
4, 3, 6.5785
5, 3, 5.7384
1, 4, 0.1922
2, 4, 3.0315
3, 4, 6.5785
4, 4, 14.7711
5, 4, 11.0572
1, 5, 0.8153
2, 5, 3.9731
3, 5, 5.7384
4, 5, 11.0572
5, 5, 17.3380
