GlobalXbin    GlobalYbin    Z
0    0    0.006343711100463963
0    1    0.006995237282484447
0    2    0.003912044485361657
0    3    0.002332236132218934
0    4    0.001128239710564772
0    5    -0.0002628931198718552
0    6    -0.0006631975705144868
0    7    0.00134183769810073
0    8    0.0005454138448776814
0    9    0.001175647110266312
0    10    -0.0003601280691110504
0    11    0.0001422219260226097
0    12    0.00527340883453145
0    13    0.007455044560212495
0    14    0.005268020044365767
0    15    0.003730571757939601
0    16    0.003853567341322132
0    17    0.003288876143924134
0    18    0.001616365417555529
0    19    0.0002904762682861205
0    20    0.0003388399304657392
0    21    0.0004419376097063199
0    22    0.0004894862270539457
0    23    0.0005221637504144398
0    24    0.0005683353904124892
0    25    0.0006160198525614432
0    26    0.0006935848723844716
0    27    0.0008009954020384319
0    28    0.000934190130281218
0    29    0.0002007002164637846
0    30    0.0002371978429307284
0    31    0.0002843696064723679
0    32    0.0003202215524198231
0    33    0.000340728634491869
0    34    0.0003743499010954889
0    35    0.0004253851620225713
0    36    0.0005011512686021208
0    37    0.000580280211156873
0    38    0.0006620764875390823
0    39    0.0007340340432400966
0    40    0.0008088571849000018
0    41    0.0008646627442681244
0    42    0.0009332761119274609
0    43    0.001005286201363966
0    44    0.0005482197785992963
0    45    0.0005691873576311539
0    46    0.0005965798673226391
0    47    0.0006342654309045842
0    48    0.0006676195216696987
0    49    0.0007117924333217692
0    50    0.0007561346904124813
0    51    0.0008533756472121892
0    52    0.0009956537461565625
0    53    0.001180123226326289
0    54    0.00138212644161061
0    55    0.001580501738082999
0    56    0.001779676828882501
0    57    0.001979297978950439
0    58    0.002170451483121514
0    59    0.002401477025030564
0    60    0.00271863668385876
0    61    0.001869259000325755
0    62    0.001339283833873753
0    63    0.0005671743379023911
0    64    8.92066459700053e-05
0    65    0.00173283922654632
0    66    0.002455265015318027
0    67    0.002142518192116778
0    68    0.001468467230895215
0    69    5.586409223075262e-05
0    70    0.003765685553157562
0    71    0.005166296622450989
0    72    0.004984886063883861
0    73    0.004135984010885679
0    74    0.003220175150529071
0    75    0.002273354890649001
0    76    0.001415353565233052
0    77    0.0004689978259480729
0    78    0.003292326565478535
0    79    0.00405643782651416
0    80    0.004121265582988853
0    81    0.003887717866995427
0    82    0.00281208796917084
0    83    0.001391435196390757
0    84    6.040067715960476e-06
1    0    0.006995237282484441
1    1    0.008828428345153403
1    2    0.006084550680011595
1    3    0.003524678450413403
1    4    0.001057801431939956
1    5    -0.0001927979958390201
1    6    -0.0003158301528216282
