GlobalBin    Bin    row_lo    row_hi    element_lo    element_hi
0       0      -1000      -1000      0.0      0.15
1       1      -1000      -1000      0.15     0.21
2       2      -1000      -1000      0.21     0.3
3       3      -1000      -1000      0.3      0.42
4       4      -1000      -1000      0.42     0.6
5       5      -1000      -1000      0.6      1.2
6       6      -1000      -1000      0.0      0.12
7       7      -1000      -1000      0.12     0.18
8       8      -1000      -1000      0.18     0.3
9       9      -1000      -1000      0.3      0.42
10      10     -1000      -1000      0.42     0.6
11      11     -1000      -1000      0.6      1.2
12      0      -1000      -1000      0.0      0.12
13      1      -1000      -1000      0.12     0.18
14      2      -1000      -1000      0.18     0.24
15      3      -1000      -1000      0.24     0.3
16      4      -1000      -1000      0.3      0.36
17      5      -1000      -1000      0.36     0.42
18      6      -1000      -1000      0.42     0.51
19      7      -1000      -1000      0.51     0.66
20      8      -1000      -1000      0.66     1.2
21      0      -1000      -1000      -1       0.0
22      1      -1000      -1000      0.0      0.3
23      2      -1000      -1000      0.3      0.5
24      3      -1000      -1000      0.5      0.6
25      4      -1000      -1000      0.6      0.7
26      5      -1000      -1000      0.7      0.8
27      6      -1000      -1000      0.8      0.9
28      7      -1000      -1000      0.9      1.0
29      8      -1000      -1000      -1       -0.6
30      9      -1000      -1000      -0.6     -0.4
31      10     -1000      -1000      -0.4     -0.2
32      11     -1000      -1000      -0.2     -0.1
33      12     -1000      -1000      -0.1     0.0
34      13     -1000      -1000      0.0      0.1
35      14     -1000      -1000      0.1      0.2
36      15     -1000      -1000      0.2      0.3
37      16     -1000      -1000      0.3      0.4
38      17     -1000      -1000      0.4      0.5
39      18     -1000      -1000      0.5      0.6
40      19     -1000      -1000      0.6      0.7
41      20     -1000      -1000      0.7      0.8
42      21     -1000      -1000      0.8      0.9
43      22     -1000      -1000      0.9      1.0
44      0      -1000      -1000      -1       -0.8
45      1      -1000      -1000      -0.8     -0.6
46      2      -1000      -1000      -0.6     -0.4
47      3      -1000      -1000      -0.4     -0.3
48      4      -1000      -1000      -0.3     -0.2
49      5      -1000      -1000      -0.2     -0.1
50      6      -1000      -1000      -0.1     0.0
51      7      -1000      -1000      0.0      0.1
52      8      -1000      -1000      0.1      0.2
53      9      -1000      -1000      0.2      0.3
54      10     -1000      -1000      0.3      0.4
55      11     -1000      -1000      0.4      0.5
56      12     -1000      -1000      0.5      0.6
57      13     -1000      -1000      0.6      0.7
58      14     -1000      -1000      0.7      0.8
59      15     -1000      -1000      0.8      0.9
60      16     -1000      -1000      0.9      1.0
61      0      -1.0       0.0        0.0      0.15
62      1      -1.0       0.0        0.15     0.21
63      2      -1.0       0.0        0.21     0.3
64      3      -1.0       0.0        0.3      1.2
65      4      0.0        0.5        0.0      0.15
66      5      0.0        0.5        0.15     0.24
67      6      0.0        0.5        0.24     0.33
68      7      0.0        0.5        0.33     0.42
69      8      0.0        0.5        0.42     1.2
70      9      0.5        0.85       0.0      0.12
71      10     0.5        0.85       0.12     0.18
72      11     0.5        0.85       0.18     0.24
73      12     0.5        0.85       0.24     0.3
74      13     0.5        0.85       0.3      0.36
75      14     0.5        0.85       0.36     0.42
76      15     0.5        0.85       0.42     0.54
77      16     0.5        0.85       0.54     1.2
78      17     0.85       1.0        0.0      0.15
79      18     0.85       1.0        0.15     0.24
80      19     0.85       1.0        0.24     0.33
81      20     0.85       1.0        0.33     0.42
82      21     0.85       1.0        0.42     0.51
83      22     0.85       1.0        0.51     0.66
84      23     0.85       1.0        0.66     1.2
end
