lo,hi,val,err
0.0,0.06,0.10595735843688314,0.01760626043282515
0.06,0.12,0.26890510614448015,0.03352526536167467
0.12,0.18,0.3377785456975458,0.05916474173904311
0.18,0.24,0.2502977297847868,0.04746846019044865
0.24,0.32,0.19120907474304422,0.03972983690228647
0.32,0.4,0.1392074763015329,0.03567968712791113
0.4,0.48,0.13465183035123962,0.03974327762397564
0.48,0.55,0.08112194092889667,0.02011915352546164
0.55,0.63,0.0486482817062443,0.01898653700923996
0.63,0.7,0.026916208157509062,0.01505338745876635
0.7,1.2,0.006199934740400695,0.0022633243324603003
