lo,hi,val,err
-1.0,-0.6,0.23322506383025118,0.06956776903507549
-0.6,-0.45,1.2377315448166655,0.4957412195324288
-0.45,-0.35,4.516853733643439,1.478613775193409
-0.35,-0.25,6.520365171185542,1.2683555619623483
-0.25,-0.15,8.186232986178062,1.8845391023454952
-0.15,-0.075,9.634878695499904,2.1129575933549636
-0.075,0.0,12.739043888500747,2.590242477555382
0.0,0.075,12.59731973533149,2.6270115450079556
0.075,0.15,9.45912931067356,2.063337303598241
0.15,0.25,9.731930442408723,2.07110822706447
0.25,0.35,5.788843854270142,2.13811770954336
0.35,0.45,3.0357039905703034,1.417739220362737
0.45,0.6,1.5889814014765455,0.5005350653861745
0.6,1.0,0.06109149865263307,0.10012326764734644
