lo,hi,val,err
0.1,0.175,6.958350363804898,2.65224904300777
0.175,0.2,13.055354633948639,4.205235755330874
0.2,0.225,17.40663832816327,4.290353896528239
0.225,0.25,19.774077648130575,2.7325571394698227
0.25,0.275,23.93439900239919,3.390948066004532
0.275,0.3,25.475758884570116,3.791887855743397
0.3,0.325,23.128471785256462,3.272293078638998
0.325,0.35,26.055642548188185,3.170592333469966
0.35,0.375,25.554180338643974,3.5754838153069675
0.375,0.4,25.425909165199005,3.161888129488653
0.4,0.425,25.49010277162621,3.507716684260497
0.425,0.45,24.25971830566795,4.057622449406371
0.45,0.475,23.224660964346317,2.5786248138832937
0.475,0.5,21.703817415318348,2.9979417322177704
0.5,0.55,19.827361061563124,2.90257483523617
0.55,0.6,20.864219155846314,3.376837270414206
0.6,0.65,18.07416543201782,2.636225121617196
0.65,0.7,17.023174937828685,3.420532556838909
0.7,0.75,14.306177639015273,3.2232329542749887
0.75,0.8,14.153449321513522,2.887869245598994
0.8,0.85,12.340005717621782,3.299247199637501
0.85,0.9,12.070852394957635,2.4240580919274706
0.9,0.95,10.373879921985795,2.237542035437465
0.95,1.0,8.6381396033309,2.8795410093875202
1.0,1.1,7.255108792309495,1.7025964953999353
1.1,1.2,4.760157435683759,2.481380248216833
