lo,hi,val,err
0.0,0.07,6.4389032973556635,1.0532851206910383
0.07,0.14,30.553675547691235,3.5716272577709995
0.14,0.21,46.63302261592658,5.84468540966271
0.21,0.28,37.77046397367602,4.276466704663814
0.28,0.35,24.42042857542194,4.027564583592103
0.35,0.45,21.590675496164586,4.9901297497594514
0.45,0.54,17.573191841452886,3.569423366806001
0.54,0.66,13.751099975455602,2.982922518652795
0.66,0.77,8.150370538427094,2.882236813169967
0.77,0.9,4.300564474088043,2.3913672212183137
0.9,1.2,1.4653710142248448,1.032408319153447
