lo,hi,val,err
0.106,0.296,0.00425755943168449,0.0028851011032593266
0.296,0.386,0.02919461077765521,0.006262167314836405
0.386,0.505,0.0752418825351175,0.010737681809637111
0.505,0.577,0.1043212739994393,0.011617195067367535
0.577,0.659,0.1153125671700028,0.011975981258406352
0.659,0.753,0.1073253637468737,0.012101502840873789
0.753,0.861,0.0963254890540739,0.009472372533212172
0.861,0.984,0.07758306274989382,0.008029956175495873
0.984,1.285,0.03987332873486024,0.004714603471055844
1.285,2.506,0.004174053956413871,0.0006017059663367348
