lo,hi,val,err
0.106,0.226,0.006776154792699925,0.008787523489503403
0.226,0.296,0.06821603903828163,0.01688628479349075
0.296,0.386,0.1811656741440396,0.022104133967997715
0.386,0.505,0.295580300596251,0.03150533872878401
0.505,0.577,0.4065607373259437,0.039199696495337076
0.577,0.659,0.4592548051989898,0.046620270502669967
0.659,0.753,0.5507788499696608,0.05271359246526282
0.753,0.861,0.6161363950816052,0.05274796127427455
0.861,0.984,0.4888638623555724,0.047492455912269804
0.984,1.285,0.2917995944357158,0.03357901523581892
1.285,2.506,0.02865979687977809,0.004992578146264912
