lo,hi,val,err
0.106,0.226,0.001198118595919581,0.009009091794615802
0.226,0.296,0.03343456586662027,0.01404836418707692
0.296,0.386,0.08147887816004304,0.016652449752897456
0.386,0.505,0.1693723317408657,0.01845728934993137
0.505,0.577,0.2049416876351934,0.03158770901094628
0.577,0.659,0.2318719186116361,0.042045916327347235
0.659,0.753,0.3567613865038989,0.042811684686052044
0.753,0.861,0.561802743903907,0.043625641391172025
0.861,0.984,0.4553100670351888,0.06002211585251301
0.984,1.285,0.4324053961128652,0.05497643097073035
1.285,2.506,0.09819495302677399,0.019363297477831658
