lo,hi,val,err
0.106,0.226,0.06185170537558035,0.02577352369172301
0.226,0.296,0.2151917426460634,0.0273931653962564
0.296,0.386,0.3252576977185261,0.029276471661475227
0.386,0.505,0.4917106645177924,0.036226035278627444
0.505,0.577,0.5129419085551836,0.04509513486528349
0.577,0.659,0.5023747050003229,0.0359569588620754
0.659,0.753,0.3812635936667568,0.035473436391144884
0.753,0.861,0.1953717955712335,0.027835387995824273
0.861,0.984,0.07576615119529546,0.01150888128342775
0.984,2.506,0.008791500178687904,0.004086832117808455
