lo,hi,val,err
0.106,0.226,0.2079935887747292,0.027572025756583043
0.226,0.296,0.4137408814211258,0.030742128658411427
0.296,0.386,0.4993545599744117,0.030435307372132497
0.386,0.505,0.4652256309028448,0.027525222511371593
0.505,0.577,0.4067894430654034,0.026281242963174186
0.577,0.659,0.3455454992749097,0.023604484099666256
0.659,0.753,0.3050744783303312,0.02065455386123569
0.753,0.861,0.2730250579239679,0.019607247501341688
0.861,0.984,0.2214803494366093,0.016625545663982423
0.984,1.285,0.12258536625175,0.011600224618627981
1.285,2.506,0.02283725619529504,0.003867475452309664
