lo,hi,val,err
0.106,0.296,0.0008842292587249354,0.0023897674319903256
0.296,0.386,0.02101494566234386,0.0073988660130841115
0.386,0.505,0.06760492148525638,0.012716848486621534
0.505,0.577,0.09531553651770255,0.012601092842324097
0.577,0.659,0.1244335585706062,0.015166790563338889
0.659,0.753,0.1608745359478492,0.014264828211085653
0.753,0.861,0.2129175336840886,0.017734752676842793
0.861,0.984,0.2227784038708483,0.019645005937329395
0.984,1.285,0.1899379793039887,0.01698983659686773
1.285,2.506,0.03650357549043903,0.0055520505783261875
