lo,hi,val,err
0.106,0.226,0.02393984031270312,0.010700972881491827
0.226,0.296,0.1135871569400706,0.018915740587295414
0.296,0.386,0.2498966465604422,0.024252750825826112
0.386,0.505,0.369756189552451,0.0342254306437155
0.505,0.577,0.4996592315237128,0.041729530624163555
0.577,0.659,0.5403727900794666,0.04079935824226091
0.659,0.753,0.4712596882506421,0.04262594614582394
0.753,0.861,0.3837667186109682,0.03424642395249637
0.861,0.984,0.2622687296397347,0.02777593522826266
0.984,1.285,0.1029471089113216,0.014431926144042208
1.285,2.506,0.005128362975767508,0.0008667768780348902
