lo,hi,val,err
0.106,0.226,0.01548438748625604,0.024461660555768993
0.226,0.296,0.1562077632264507,0.02646045906772408
0.296,0.386,0.3146664911315336,0.03187835496822585
0.386,0.505,0.4912939399772748,0.03654627371973528
0.505,0.577,0.6138927852216339,0.047841774121626775
0.577,0.659,0.6880968954976686,0.052839369514325225
0.659,0.753,0.6333714128212611,0.052978273032292425
0.753,0.861,0.4702076529336698,0.04763379106153811
0.861,0.984,0.295822124295019,0.03552664963990575
0.984,1.285,0.1321421924300187,0.01680482341439747
1.285,2.506,0.02008972336285973,0.004730453602417456
