lo,hi,val,err
0.106,0.226,0.02063103923776221,0.019386280840961154
0.226,0.296,0.08649676632620286,0.026063971025188804
0.296,0.386,0.1101506604075417,0.027200106103181305
0.386,0.505,0.2818248824872261,0.031011113434558573
0.505,0.577,0.4141959779255346,0.04649004854785752
0.577,0.659,0.4092691849334792,0.05054028244479803
0.659,0.753,0.60049530464626,0.05598024948146438
0.753,0.861,0.836640025440229,0.06711301438524425
0.861,0.984,0.8516166710541883,0.0730338141786812
0.984,1.285,0.6475581251682723,0.0655315577047639
1.285,2.506,0.175537225843258,0.020874775181337887
