lo,hi,val,err
0.035,0.105,0.4865729306198966,0.05268081939646898
0.105,0.1225,0.3839949895543584,0.03528096273818038
0.1225,0.14,0.2782206438583643,0.030739570993418116
0.14,0.1575,0.219290667410807,0.02376846754457906
0.1575,0.175,0.1704860704595648,0.020907800336637316
0.175,0.1925,0.1495061284042495,0.020020969094069935
0.1925,0.21,0.06963763811484369,0.008869723016128211
0.21,0.245,0.06457075523562959,0.011448472801917263
0.245,0.28,0.04983243907186596,0.006816215216430955
0.28,0.315,0.02954738452779299,0.003594406196241037
0.315,0.8,0.00295725817110638,0.0007162105389217124
