lo,hi,val,err
0.106,0.226,0.04231857228007666,0.020740175597071288
0.226,0.296,0.1565488711869163,0.04332430573815644
0.296,0.386,0.4336710345740834,0.05937532949859501
0.386,0.505,0.8476133073751027,0.09363174276989353
0.505,0.577,1.295812140131529,0.13400929029620365
0.577,0.659,1.41675558316025,0.13419596527197925
0.659,0.753,1.675077603213794,0.16045228806823703
0.753,0.861,1.737036292041307,0.15270669532839806
0.861,0.984,1.548692138167777,0.12023810881810135
0.984,1.285,0.8131529663723057,0.08889679639589348
1.285,2.506,0.05287129111139712,0.006438395077721831
