lo,hi,val,err
0.106,0.296,0.04111733622485503,0.02634483797558942
0.296,0.386,0.2703578226434259,0.04741486261391487
0.386,0.505,0.6100827475726952,0.06736334796302967
0.505,0.577,0.9461889655394949,0.10359609233948962
0.577,0.659,0.8564447945449144,0.1329438257581506
0.659,0.753,1.359620132744126,0.15013035959862042
0.753,0.861,1.855224831159025,0.17336979150755036
0.861,0.984,2.233187985028217,0.1716842460540276
0.984,1.285,1.999286100458427,0.17872070030209936
1.285,2.506,0.4039029471160741,0.0465658289515763
