lo,hi,val,err
0.106,0.296,0.06168990873889502,0.016593634707442913
0.296,0.386,0.2408801756506075,0.032370605340279954
0.386,0.505,0.3799934098821541,0.04831157259386389
0.505,0.577,0.5903606929948502,0.06335661488508582
0.577,0.659,0.6177629882244694,0.05295341708287139
0.659,0.753,0.7451657188391003,0.06275461448201522
0.753,0.861,0.6838845191399445,0.06455692045245598
0.861,0.984,0.648532275961551,0.06615565052440534
0.984,1.285,0.4326634869214435,0.05160792394021962
1.285,2.506,0.04514694564311828,0.006061179411952835
