lo,hi,val,err
0.106,0.296,0.03351616608870963,0.01358477220931986
0.296,0.386,0.1181908585470536,0.021875291388980686
0.386,0.505,0.2331598595299777,0.033394379084980705
0.505,0.577,0.3473042743682937,0.04136210047731123
0.577,0.659,0.4093103722908658,0.0487494109114784
0.659,0.753,0.5344085719061645,0.05914417812610552
0.753,0.861,0.5773719711884695,0.06906124869076638
0.861,0.984,0.5685876347963137,0.07404997934832433
0.984,1.285,0.3659753416987392,0.05882517208378597
1.285,2.506,0.08839434838976333,0.02145762733098773
