$\theta_{e}\ (\unit{deg})$,0 - 1,1 - 2,2 - 3,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10,10 - 12,12 - 15,15 - 20,20 - 27,27 - 35
0 - 1,$0.00022$,$0.00020$,$0.00023$,$0.00026$,$0.00026$,$0.00024$,$0.00019$,$0.00017$,$0.00018$,$0.00018$,$0.00017$,$0.00011$,$0.000079$,$0.000046$,$0.000014$
1 - 2,,$0.0010$,$0.00066$,$0.00074$,$0.00077$,$0.00072$,$0.00059$,$0.00052$,$0.00052$,$0.00049$,$0.00048$,$0.00031$,$0.00021$,$0.00010$,$0.000018$
2 - 3,,,$0.0015$,$0.0010$,$0.0011$,$0.0010$,$0.00084$,$0.00074$,$0.00074$,$0.00071$,$0.00068$,$0.00045$,$0.00030$,$0.00016$,$0.000036$
3 - 4,,,,$0.0021$,$0.0013$,$0.0013$,$0.0010$,$0.00091$,$0.00091$,$0.00087$,$0.00082$,$0.00056$,$0.00037$,$0.00020$,$0.000053$
4 - 5,,,,,$0.0027$,$0.0015$,$0.0012$,$0.0011$,$0.0011$,$0.0010$,$0.00098$,$0.00069$,$0.00046$,$0.00025$,$0.000059$
5 - 6,,,,,,$0.0028$,$0.0013$,$0.0012$,$0.0011$,$0.0012$,$0.0011$,$0.00079$,$0.00055$,$0.00031$,$0.000082$
6 - 7,,,,,,,$0.0022$,$0.0010$,$0.00099$,$0.00097$,$0.00094$,$0.00069$,$0.00049$,$0.00026$,$0.000060$
7 - 8,,,,,,,,$0.0020$,$0.00091$,$0.00091$,$0.00088$,$0.00064$,$0.00045$,$0.00024$,$0.000061$
8 - 9,,,,,,,,,$0.0019$,$0.00098$,$0.00096$,$0.00070$,$0.00052$,$0.00033$,$0.00012$
9 - 10,,,,,,,,,,$0.0022$,$0.00100$,$0.00074$,$0.00057$,$0.00037$,$0.00013$
10 - 12,,,,,,,,,,,$0.0019$,$0.00075$,$0.00060$,$0.00037$,$0.00014$
12 - 15,,,,,,,,,,,,$0.0012$,$0.00045$,$0.00029$,$0.00011$
15 - 20,,,,,,,,,,,,,$0.00082$,$0.00025$,$0.000094$
20 - 27,,,,,,,,,,,,,,$0.00053$,$0.000095$
27 - 35,,,,,,,,,,,,,,,$0.00024$
