$E_{e}\ (\unit{GeV})$,1.0 - 1.5,1.5 - 2.0,2.0 - 2.5,2.5 - 3.0,3.0 - 3.5,3.5 - 4.0,4.0 - 4.5,4.5 - 5.0,5 - 6,6.0 - 7.5,7.5 - 10.0
1.0 - 1.5,$0.20$,$0.046$,$0.036$,$0.028$,$0.021$,$0.017$,$0.015$,$0.010$,$0.0073$,$0.0055$,$0.0025$
1.5 - 2.0,,$0.064$,$0.025$,$0.020$,$0.014$,$0.012$,$0.0098$,$0.0070$,$0.0051$,$0.0037$,$0.0019$
2.0 - 2.5,,,$0.041$,$0.018$,$0.013$,$0.012$,$0.0094$,$0.0076$,$0.0052$,$0.0037$,$0.0019$
2.5 - 3.0,,,,$0.028$,$0.012$,$0.011$,$0.0086$,$0.0072$,$0.0050$,$0.0035$,$0.0018$
3.0 - 3.5,,,,,$0.022$,$0.011$,$0.0091$,$0.0071$,$0.0052$,$0.0038$,$0.0019$
3.5 - 4.0,,,,,,$0.018$,$0.0089$,$0.0071$,$0.0050$,$0.0036$,$0.0017$
4.0 - 4.5,,,,,,,$0.012$,$0.0058$,$0.0041$,$0.0031$,$0.0014$
4.5 - 5.0,,,,,,,,$0.0084$,$0.0034$,$0.0024$,$0.0012$
5 - 6,,,,,,,,,$0.0045$,$0.0019$,$0.00095$
6.0 - 7.5,,,,,,,,,,$0.0025$,$0.00074$
7.5 - 10.0,,,,,,,,,,,$0.00088$
