$E_{\nu} (\unit{GeV})$,Flux ($\text{neutrinos}/\unit{cm^{2}}/\unit{GeV}/\unit{P.O.T.}) \times 10^{-10}$,$\bar{\nu}_{e}$ fraction
0.0 - 0.5,0.272,0.21
0.5 - 1.0,0.536,0.083
1.0 - 1.5,0.833,0.066
1.5 - 2.0,0.99,0.051
2.0 - 2.5,1.04,0.045
2.5 - 3.0,0.972,0.048
3.0 - 3.5,0.877,0.052
3.5 - 4.0,0.8,0.057
4.0 - 4.5,0.694,0.069
4.5 - 5.0,0.583,0.075
5.0 - 5.5,0.48,0.096
5.5 - 6.0,0.408,0.097
6.0 - 6.5,0.327,0.11
6.5 - 7.0,0.259,0.13
7.0 - 7.5,0.212,0.16
7.5 - 8.0,0.182,0.16
8.0 - 8.5,0.162,0.17
8.5 - 9.0,0.147,0.19
9.0 - 9.5,0.124,0.2
9.5 - 10.0,0.114,0.2
10.0 - 10.5,0.117,0.22
