lo,hi,val,err
0,0.02,0.7179938924,0.1578940266
0.02,0.04,0.5599855719,0.1395760547
0.04,0.06,0.6552022187,0.1514989211
0.06,0.08,0.8729063835,0.1851732866
0.08,0.1,1.210308803,0.225131425
0.1,0.12,1.601230235,0.2661722019
0.12,0.14,2.068128712,0.3210328923
0.14,0.16,2.569908028,0.3586582547
0.16,0.2,3.241912141,0.39283998
0.2,0.25,3.710349388,0.3852158903
0.25,0.3,3.616815342,0.3678936923
0.3,0.35,2.990453709,0.3166725944
0.35,0.4,2.10804275,0.2305879068
0.4,0.5,1.193856672,0.1347668807
0.5,0.6,0.4780279718,0.05815000628
0.6,0.8,0.08348705629,0.01207814252
