lo,hi,val,err
0.0,0.075,26.204474968011745,2.1785620935923635
0.075,0.15,128.7892034860761,9.809016241954161
0.15,0.25,356.5586920317624,33.92981718602626
0.25,0.325,592.2579311672956,43.70983123869242
0.325,0.4,801.7409581593075,53.54887975140838
0.4,0.475,943.9065922262589,60.513300059296036
0.475,0.55,992.9403206577034,60.69192040257245
0.55,0.7,876.6911695841162,76.08602246813534
0.7,0.85,650.9482832098092,57.67362209674317
0.85,1.0,431.0754669419504,35.54390840881999
1.0,1.25,199.16144990961627,25.477659112027307
1.25,1.5,55.20927960906643,12.307369650196533
1.5,2.5,3.1113342756424633,0.8740374044582728
