lo,hi,val,err
0.0,0.00625,361.52115092019744,27.632249017365126
0.00625,0.0125,490.4836721003634,33.54163356659632
0.0125,0.025,653.6038206625497,47.4237391229351
0.025,0.0375,784.9444803272936,62.556749114699755
0.0375,0.05,891.8645359120867,83.04074049674898
0.05,0.1,992.7478686603996,72.3043452383409
0.1,0.15,1063.2755441898364,63.91822013140944
0.15,0.2,1052.430031654328,62.41118458935395
0.2,0.3,948.6043231988888,55.551322450181765
0.3,0.4,746.966863894248,58.44493201427843
0.4,0.6,526.2603251784977,41.609779430373614
0.6,0.8,326.84662647999636,25.379659657310427
0.8,1.0,214.4509490445067,16.441745040387058
1.0,1.2,140.47174543831403,10.370613113149345
1.2,2.0,57.577862827744404,5.012945118691004
2.0,4.0,7.053284034993041,0.9280183013739111
4.0,6.0,0.3245610334561363,0.06382026929850705
6.0,8.0,0.03515347833820284,0.008602569768881943
8.0,10.0,0.004750509028884327,0.0029334713547159927
