lo,hi,val,err
0.0,0.07,6.640000e-42,6.650000e-43
0.07,0.15,2.290000e-41,1.500000e-42
0.15,0.25,5.290000e-41,2.940000e-42
0.25,0.33,8.560000e-41,4.500000e-42
0.33,0.4,1.120000e-40,5.850000e-42
0.4,0.47,1.390000e-40,7.320000e-42
0.47,0.55,1.600000e-40,7.950000e-42
0.55,0.7,1.740000e-40,8.690000e-42
0.7,0.85,1.800000e-40,9.170000e-42
0.85,1.0,1.700000e-40,8.400000e-42
1.0,1.25,1.590000e-40,7.830000e-42
1.25,1.5,1.300000e-40,6.650000e-42
1.5,2.5,6.480000e-41,3.620000e-42
2.5,4.5,3.940000e-42,2.920000e-43
