RootHistBinID,CovCSVId,SumTp Lower Bin Boundary (GeV), SumTp Upper Bin Boundary (GeV), q0_qe Lower Bin Boundary (GeV), q0_qe Upper Bin Boundary (GeV), Muon Energy Lower Bin Boundary (GeV), Muon Energy Upper Bin Boundary (GeV), cross section (cm^2/nucleon/(GeV^3)), statistical uncertainty (cm^2/nucleon/(GeV^3)), total uncertainty (cm^2/nucleon/(GeV^3))
145,0,0.000,0.020,0.000,0.040,1.500,3.500,3.348018e-39,3.082618e-40,5.418723e-40
277,1,0.000,0.020,0.000,0.040,3.500,4.500,5.675148e-39,5.887025e-40,8.880497e-40
409,2,0.000,0.020,0.000,0.040,4.500,7.000,7.496569e-39,3.880770e-40,9.079083e-40
541,3,0.000,0.020,0.000,0.040,7.000,8.000,4.208029e-39,4.278074e-40,6.136674e-40
673,4,0.000,0.020,0.000,0.040,8.000,10.000,1.553286e-39,2.031458e-40,2.878223e-40
805,5,0.000,0.020,0.000,0.040,10.000,20.000,3.035856e-40,3.893548e-41,4.972029e-41
157,6,0.000,0.020,0.040,0.080,1.500,3.500,2.931241e-38,8.812203e-40,3.880481e-39
289,7,0.000,0.020,0.040,0.080,3.500,4.500,5.430591e-38,1.752692e-39,6.330314e-39
421,8,0.000,0.020,0.040,0.080,4.500,7.000,6.156296e-38,1.091757e-39,6.679360e-39
553,9,0.000,0.020,0.040,0.080,7.000,8.000,3.608827e-38,1.268015e-39,4.349878e-39
685,10,0.000,0.020,0.040,0.080,8.000,10.000,1.220546e-38,5.456672e-40,1.825677e-39
817,11,0.000,0.020,0.040,0.080,10.000,20.000,1.464441e-39,8.765950e-41,1.718701e-40
169,12,0.000,0.020,0.080,0.120,1.500,3.500,2.098023e-38,8.537565e-40,3.009561e-39
301,13,0.000,0.020,0.080,0.120,3.500,4.500,3.690114e-38,1.531311e-39,5.162299e-39
433,14,0.000,0.020,0.080,0.120,4.500,7.000,4.328727e-38,9.823289e-40,5.225221e-39
565,15,0.000,0.020,0.080,0.120,7.000,8.000,2.524953e-38,1.025325e-39,3.607488e-39
697,16,0.000,0.020,0.080,0.120,8.000,10.000,9.162523e-39,4.808081e-40,1.558881e-39
829,17,0.000,0.020,0.080,0.120,10.000,20.000,1.088542e-39,7.422245e-41,1.539989e-40
181,18,0.000,0.020,0.120,0.160,1.500,3.500,1.208483e-38,7.049696e-40,1.663224e-39
313,19,0.000,0.020,0.120,0.160,3.500,4.500,2.258524e-38,1.199058e-39,3.114635e-39
445,20,0.000,0.020,0.120,0.160,4.500,7.000,2.606086e-38,7.521727e-40,3.268301e-39
