RootHistBinID,CovCSVId,SumTp Lower Bin Boundary (GeV), SumTp Upper Bin Boundary (GeV), Muon Pt Lower Bin Boundary (GeV/c), Muon Pt Upper Bin Boundary (GeV/c), Muon P|| Lower Bin Boundary (GeV/c), Muon P|| Upper Bin Boundary (GeV), cross section (cm^2/nucleon/(GeV^3/c^2)), statistical uncertainty (cm^2/nucleon/(GeV^3/c^2)), total uncertainty (cm^2/nucleon/(GeV^3/c^2))
169,0,0.000,0.020,0.000,0.075,1.500,3.500,3.143152e-40,5.116144e-41,6.334807e-41
325,1,0.000,0.020,0.000,0.075,3.500,4.500,5.193914e-40,9.275897e-41,1.033296e-40
481,2,0.000,0.020,0.000,0.075,4.500,7.000,7.176461e-40,6.371015e-41,8.166192e-41
637,3,0.000,0.020,0.000,0.075,7.000,8.000,3.088292e-40,5.225399e-41,5.901287e-41
793,4,0.000,0.020,0.000,0.075,8.000,10.000,1.374230e-40,3.012226e-41,3.405905e-41
949,5,0.000,0.020,0.000,0.075,10.000,20.000,4.816450e-41,7.925525e-42,8.527507e-42
181,6,0.000,0.020,0.075,0.150,1.500,3.500,1.708259e-39,1.113533e-40,2.066579e-40
337,7,0.000,0.020,0.075,0.150,3.500,4.500,2.962987e-39,2.104832e-40,3.133828e-40
493,8,0.000,0.020,0.075,0.150,4.500,7.000,3.511087e-39,1.367884e-40,2.705419e-40
649,9,0.000,0.020,0.075,0.150,7.000,8.000,2.372511e-39,1.596820e-40,2.152505e-40
805,10,0.000,0.020,0.075,0.150,8.000,10.000,8.661670e-40,7.109903e-41,1.084183e-40
961,11,0.000,0.020,0.075,0.150,10.000,20.000,9.324640e-41,1.128307e-41,1.262405e-41
193,12,0.000,0.020,0.150,0.250,1.500,3.500,3.432130e-39,1.374061e-40,3.567706e-40
349,13,0.000,0.020,0.150,0.250,3.500,4.500,6.026430e-39,2.611959e-40,5.285963e-40
505,14,0.000,0.020,0.150,0.250,4.500,7.000,7.019628e-39,1.658432e-40,4.967941e-40
661,15,0.000,0.020,0.150,0.250,7.000,8.000,3.978054e-39,1.764265e-40,3.755482e-40
817,16,0.000,0.020,0.150,0.250,8.000,10.000,1.287085e-39,7.422862e-41,1.672634e-40
973,17,0.000,0.020,0.150,0.250,10.000,20.000,1.514268e-40,1.157492e-41,1.602814e-41
205,18,0.000,0.020,0.250,0.325,1.500,3.500,3.737948e-39,1.805836e-40,4.603017e-40
361,19,0.000,0.020,0.250,0.325,3.500,4.500,7.126591e-39,3.318624e-40,7.214110e-40
517,20,0.000,0.020,0.250,0.325,4.500,7.000,7.860533e-39,2.063926e-40,6.717163e-40
673,21,0.000,0.020,0.250,0.325,7.000,8.000,4.474901e-39,2.055048e-40,5.130679e-40
829,22,0.000,0.020,0.250,0.325,8.000,10.000,1.641655e-39,9.194426e-41,2.265821e-40
985,23,0.000,0.020,0.250,0.325,10.000,20.000,1.914609e-40,1.363809e-41,1.983057e-41
