lo,hi,val,err
500,600,6.1,0.8
600,650,11.5,1.3
650,700,15.8,1.7
700,750,19.6,2.1
750,800,24.1,2.5
800,850,28.3,2.9
850,900,32.5,3.3
900,950,37.3,3.9
950,1000,41.6,4.4
1000,1050,46.6,5.0
1050,1100,49.7,5.6
1100,1150,52.9,6.1
1150,1200,56.3,7.0
1200,1250,59.1,7.6
1250,1300,62.3,8.4
1300,1350,66.7,9.4
1350,1400,70.3,10.5
1400,1450,72.3,11.4
1450,1500,77.6,12.8
1500,1550,80.8,13.9
1550,1600,83.7,14.9
1600,1650,86.4,15.9
1650,1700,88.5,16.9
1700,1750,93.0,18.5
1750,1800,92.6,19.3
1800,1900,97.1,21.4
