lo,hi,val,err
0.101,0.169,3.361,0.360
0.169,0.236,2.951,0.394
0.236,0.304,2.494,0.429
0.304,0.372,2.089,0.340
0.372,0.439,1.744,0.243
0.439,0.507,1.432,0.246
0.507,0.574,1.168,0.260
0.574,0.642,0.9435,0.2400
0.642,0.709,0.7534,0.2205
0.709,0.777,0.6015,0.2194
0.777,0.844,0.4832,0.2320
0.844,0.912,0.3854,0.2331
0.912,0.980,0.3209,0.2330
0.980,1.047,0.2649,0.2117
1.047,1.115,0.2226,0.1818
1.115,1.182,0.1935,0.1295
1.182,1.250,0.1598,0.0939
1.250,1.317,0.1329,0.0769
1.317,1.385,0.1111,0.0689
1.385,1.452,0.09259,0.06254
1.452,1.520,0.07975,0.05373
1.520,1.588,0.06618,0.04524
1.588,1.655,0.05799,0.03921
