lo,hi,val,err
0.033,0.100,1.009000e-39,6.800000e-41
0.100,0.168,1.740000e-39,1.060000e-40
0.168,0.235,1.268000e-39,8.300000e-41
0.235,0.303,9.175000e-40,7.190000e-41
0.303,0.370,6.766000e-40,6.330000e-41
0.370,0.438,4.903000e-40,5.510000e-41
0.438,0.506,3.531000e-40,4.570000e-41
0.506,0.573,2.510000e-40,4.060000e-41
0.573,0.641,1.820000e-40,3.460000e-41
0.641,0.708,1.337000e-40,2.940000e-41
0.708,0.776,9.926000e-41,2.511000e-41
0.776,0.844,7.597000e-41,2.117000e-41
0.844,0.911,5.853000e-41,1.828000e-41
0.911,0.979,4.733000e-41,1.481000e-41
0.979,1.046,4.133000e-41,1.051000e-41
1.046,1.114,3.516000e-41,9.120000e-42
1.114,1.181,3.010000e-41,9.230000e-42
1.181,1.249,2.367000e-41,6.370000e-42
1.249,1.317,1.885000e-41,4.540000e-42
1.317,1.384,1.531000e-41,3.750000e-42
1.384,1.452,1.282000e-41,2.850000e-42
1.452,1.519,1.037000e-41,2.680000e-42
1.519,1.587,8.989000e-42,2.698000e-42
1.587,1.655,8.142000e-42,2.982000e-42
