lo,hi,val,err
0.00,0.05,6.076e-39,1.4566e-39
0.05,0.10,8.769e-39,1.6159e-39
0.10,0.15,7.495e-39,1.3348e-39
0.15,0.20,6.202e-39,1.1052e-39
0.20,0.25,4.921e-39,8.9428e-40
0.25,0.30,3.691e-39,6.7762e-40
0.30,0.35,2.838e-39,5.2975e-40
0.35,0.40,2.297e-39,4.5075e-40
0.40,0.45,1.786e-39,3.8484e-40
0.45,0.50,1.418e-39,3.1233e-40
0.50,0.60,9.995e-40,2.3216e-40
0.60,0.70,5.981e-40,1.7646e-40
0.70,0.80,3.757e-40,1.3841e-40
0.80,1.00,2.104e-40,9.4831e-41
1.00,1.20,9.186e-41,7.1811e-41
1.20,1.50,3.099e-41,2.7190e-41
1.50,2.00,7.414e-42,1.2736e-41
