lo,hi,val,err
0.00,0.05,8.262e-39,1.2906e-39
0.05,0.10,9.075e-39,1.2449e-39
0.10,0.15,7.343e-39,9.7373e-40
0.15,0.20,5.867e-39,7.7728e-40
0.20,0.25,4.569e-39,6.1601e-40
0.25,0.30,3.400e-39,4.7051e-40
0.30,0.35,2.610e-39,3.6716e-40
0.35,0.40,2.083e-39,3.1412e-40
0.40,0.45,1.617e-39,2.7073e-40
0.45,0.50,1.276e-39,2.2012e-40
0.50,0.60,8.978e-40,1.6769e-40
0.60,0.70,5.394e-40,1.2560e-40
0.70,0.80,3.416e-40,9.8481e-41
0.80,1.00,1.901e-40,6.7851e-41
1.00,1.20,8.276e-41,4.2388e-41
1.20,1.50,2.870e-41,2.1191e-41
1.50,2.00,7.225e-42,9.6001e-42
