lo,hi,val,err
2.5,6,0.786,0.0366879
6,7,0.763,0.0376431
7,8,0.722,0.0361386
8,9,0.701,0.0337343
9,10,0.716,0.0337343
10,11,0.706,0.0264764
11,12,0.705,0.0245153
12,13,0.697,0.0245153
13,14,0.7,0.0245153
14,15,0.698,0.025318
15,17.5,0.698,0.0251794
17.5,20,0.7,0.0251794
20,22.5,0.699,0.0241868
22.5,25,0.694,0.0241868
25,27.5,0.694,0.0251794
27.5,30,0.694,0.0251794
30,35,0.677,0.0261725
35,40,0.681,0.0261725
40,45,0.675,0.0281603
45,50,0.682,0.0272947
50,60,0.67,0.0281603
60,70,0.675,0.0311448
70,80,0.684,0.0371214
80,90,0.678,0.0411947
90,100,0.677,0.0431856
100,115,0.674,0.0481664
115,130,0.661,0.0482597
130,145,0.671,0.0543323
145,200,0.667,0.0541479
200,300,0.721,0.060531
