*******************************************************************************************
 Differential cross section for angular bin  [0,0.84]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
3.98 	 7.73 	 4.29 	 1.40 	 0.01 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.84,0.9]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
3.11 	 10.50 	 11.96 	 6.69 	 0.13 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.9,0.94]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
2.77 	 9.29 	 10.43 	 7.03 	 0.23 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.94,1]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
********************************************************************************************
0 	1 	2 	3 	4 	
2.68 	 5.67 	 8.28 	 7.19 	 0.75 	 
********************************************************************************************
 Fractional covariance matrix on the differential cross section result of all systematic uncertainty, the bins are defined as in the paper:
 Momentum bins: 0-5: 0-400 MeV, 5-10: 400-500 MeV, 10-15: 500-700 MeV, 15-20: 700-900 MeV, 20-25 > 900 MeV 
 Angle bins: 0-5: [-1,0], [0,0.84], [0.84,0.9], [0.9,0.94], [0.94,1]
************************************************************************************************************************************
	 0 	 1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	 11 	 12 	 13 	 14 	 15 	 16 	 17 	 18 	 19 	 20 	 21 	 22 	 23 	 24 	 
24 	  0.01145528 	 0.01424306 	 0.01447092 	 0.01596738 	 0.01620449 	 0.00794128 	 0.01191824 	 0.01263984 	 0.01313351 	 0.01448851 	 0.01269957 	 0.01189079 	 0.01185367 	 0.01289186 	 0.01150519 	 0.00811541 	 0.01255527 	 0.01248746 	 0.01301647 	 0.00934832 	 0.00000000 	 0.01325057 	 0.01266057 	 0.01242183 	 0.01259515 	
23 	  0.01031632 	 0.01437850 	 0.01542452 	 0.01618341 	 0.01583929 	 0.01301102 	 0.01275165 	 0.01313684 	 0.01276541 	 0.01490970 	 0.01447678 	 0.01249030 	 0.01210102 	 0.01205508 	 0.01354127 	 0.01269425 	 0.01311593 	 0.01173609 	 0.01110317 	 0.01274702 	 0.00000000 	 0.01425539 	 0.01319706 	 0.01301957 	 0.01242183 	
22 	  0.00983072 	 0.01453377 	 0.01553701 	 0.01630187 	 0.01567444 	 0.01359481 	 0.01303991 	 0.01339452 	 0.01296411 	 0.01512592 	 0.01509679 	 0.01273223 	 0.01227177 	 0.01212710 	 0.01387938 	 0.01500296 	 0.01340733 	 0.01169438 	 0.01088851 	 0.01303853 	 0.00000000 	 0.01479352 	 0.01361849 	 0.01319706 	 0.01266057 	
21 	  0.00756581 	 0.01434279 	 0.01594845 	 0.01593503 	 0.01424988 	 0.01745186 	 0.01344252 	 0.01413695 	 0.01283847 	 0.01558522 	 0.02370290 	 0.01331723 	 0.01216450 	 0.01176201 	 0.01445177 	 0.03549397 	 0.01456746 	 0.01073424 	 0.00947370 	 0.01355069 	 0.00000000 	 0.01754623 	 0.01479352 	 0.01425539 	 0.01325057 	
20 	  0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00004498 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	
19 	  0.00039482 	 0.01496681 	 0.02117496 	 0.01914007 	 0.01337923 	 0.03771066 	 0.01826156 	 0.01572512 	 0.01074268 	 0.01902233 	 -0.01506237 	 0.01498447 	 0.01488206 	 0.00534747 	 0.03218728 	 -0.04555849 	 0.01231528 	 0.00719719 	 -0.00326257 	 0.04319674 	 0.00000000 	 0.01355069 	 0.01303853 	 0.01274702 	 0.00934832 	
18 	  0.02321836 	 0.01594481 	 0.01325413 	 0.01737452 	 0.02248816 	 -0.00714249 	 0.00939245 	 0.01120630 	 0.01558684 	 0.01402648 	 0.01406017 	 0.01074002 	 0.01184265 	 0.01778169 	 0.00345152 	 0.00445900 	 0.01183064 	 0.01765387 	 0.02405516 	 -0.00326257 	 0.00000000 	 0.00947370 	 0.01088851 	 0.01110317 	 0.01301647 	
17 	  0.01810192 	 0.01595121 	 0.01507680 	 0.01798142 	 0.02044113 	 0.00408210 	 0.01180387 	 0.01230904 	 0.01440779 	 0.01519459 	 0.00820001 	 0.01202669 	 0.01267113 	 0.01501473 	 0.01008107 	 -0.00689551 	 0.01224468 	 0.01551273 	 0.01765387 	 0.00719719 	 0.00000000 	 0.01073424 	 0.01169438 	 0.01173609 	 0.01248746 	
16 	  0.01313826 	 0.01468709 	 0.01543906 	 0.01608610 	 0.01613956 	 0.01885827 	 0.01334265 	 0.01290053 	 0.01291676 	 0.01491782 	 0.02282818 	 0.01326120 	 0.01211946 	 0.01234641 	 0.01319444 	 0.03553304 	 0.01414305 	 0.01224468 	 0.01183064 	 0.01231528 	 0.00000000 	 0.01456746 	 0.01340733 	 0.01311593 	 0.01255527 	
15 	  0.10953573 	 -0.01272046 	 -0.03795921 	 -0.04268879 	 -0.04030053 	 0.35689128 	 0.02572647 	 -0.01980461 	 -0.00647312 	 -0.01016954 	 0.58993160 	 0.03248561 	 -0.01090398 	 0.00036999 	 -0.02818367 	 2.21964853 	 0.03553304 	 -0.00689551 	 0.00445900 	 -0.04555849 	 0.00000000 	 0.03549397 	 0.01500296 	 0.01269425 	 0.00811541 	
