************************************************************************************************************************************
 Flux distribution  (/cm^2/50MeV/10^{21}POT) 
 Enu bin (GeV) 	 numu 	 numubar 	 nue 	 nuebar 
************************************************************************************************************************************
0.00 	 17335005716.0 	 21519918954.4 	 490046018.3 	 33533580.4 
0.05 	 70388262370.1 	 69290782390.7 	 1972914881.4 	 236699309.1 
0.10 	 135856781241.1 	 55013007403.0 	 3387676887.7 	 304357055.2 
0.15 	 219458330148.8 	 45737483453.7 	 4981841606.6 	 374108895.5 
0.20 	 332282975014.6 	 43072356475.3 	 6662338307.1 	 458202382.8 
0.25 	 493544963480.1 	 42519661384.3 	 7995210125.1 	 538447091.3 
0.30 	 705295459119.2 	 43705450308.5 	 8902076792.5 	 605027544.3 
0.35 	 936017416664.7 	 45903640262.7 	 9073851997.8 	 674628445.3 
0.40 	 1202235631548.7 	 44210938639.1 	 9613903368.2 	 630939925.0 
0.45 	 1492204224748.4 	 43612311058.2 	 10370917313.9 	 938338291.3 
0.50 	 1704168483032.2 	 45066325454.8 	 8549237344.1 	 632288221.7 
0.55 	 1721130788713.9 	 43115059104.8 	 8494214884.3 	 772030405.6 
0.60 	 1602126005870.1 	 41279526287.8 	 9639122518.1 	 716618745.5 
0.65 	 1413026288151.8 	 39450307637.3 	 7709461978.0 	 656881736.7 
0.70 	 1238213868008.9 	 35075335811.5 	 6931261299.0 	 594925947.5 
0.75 	 971226670556.7 	 33851721344.7 	 6592493486.2 	 557732644.4 
0.80 	 722169034146.4 	 31624536775.3 	 6226824300.9 	 575768470.8 
0.85 	 532145821865.8 	 28698756605.8 	 5686019547.4 	 522493268.8 
0.90 	 386542271953.2 	 26169378872.4 	 4846226539.4 	 569751774.1 
0.95 	 286747990156.7 	 26760317177.1 	 3956547134.9 	 526066396.8 
1.00 	 234141124401.2 	 22411287222.5 	 3654167744.6 	 502869850.9 
1.05 	 186993265742.4 	 21264626696.4 	 3406119046.5 	 601617073.4 
1.10 	 155064016593.8 	 17657265353.2 	 3868831289.8 	 444209369.3 
1.15 	 140627533558.1 	 20649675224.5 	 3768749087.5 	 446436973.3 
1.20 	 122437268007.7 	 18172147251.0 	 2821568224.9 	 481359301.1 
1.25 	 108076329459.4 	 15942475277.2 	 2689297840.4 	 482956748.2 
1.30 	 95760573545.2 	 15414490947.5 	 2329865435.4 	 444481310.3 
1.35 	 87187406711.5 	 13875483814.0 	 2062824312.8 	 482193170.0 
1.40 	 79041560670.8 	 13091714883.5 	 2106063838.6 	 411027314.4 
1.45 	 72058871960.2 	 12237637914.6 	 2262116358.5 	 354180754.6 
1.50 	 67587234166.7 	 11629258599.0 	 1914904390.1 	 402731009.7 
1.55 	 62868949204.2 	 10019924661.3 	 1646141816.3 	 386907021.7 
1.60 	 56091354133.9 	 9617493239.4 	 1746144071.5 	 375240630.4 
1.65 	 52461549756.0 	 9169204460.3 	 1680168141.9 	 410379474.3 
1.70 	 49250595213.4 	 8938875504.8 	 1809244663.3 	 367519839.4 
1.75 	 46753155197.9 	 7826624011.6 	 1681097426.9 	 359866987.8 
1.80 	 41102094039.6 	 6196506751.3 	 1740768570.6 	 426053961.8 
1.85 	 40040003455.5 	 7414729611.9 	 1473682445.7 	 327928580.1 
1.90 	 37323484993.9 	 6450479039.9 	 1481227882.4 	 346186853.7 
1.95 	 35334943749.0 	 7244085094.2 	 1438796449.1 	 310616304.1 
2.00 	 32925716317.5 	 7089778766.1 	 1530286506.0 	 345538328.2 
2.05 	 30506078046.1 	 6195394663.7 	 1460468780.1 	 312055485.3 
2.10 	 30001691060.1 	 5034520210.5 	 1372500115.7 	 291492197.0 
2.15 	 28478820131.3 	 5590750567.2 	 1319505824.2 	 266383526.5 
2.20 	 27546294360.7 	 5204297109.8 	 1329894807.1 	 295867969.9 
2.25 	 24828795199.0 	 5058493122.4 	 1260162552.9 	 328223826.7 
2.30 	 26266217849.2 	 4676229377.5 	 1385932918.6 	 250202133.9 
2.35 	 25401316378.0 	 4446750222.4 	 1263123318.5 	 255384844.5 
2.40 	 23492662547.2 	 3616158097.1 	 1179737421.7 	 273765814.5 
2.45 	 22537338791.6 	 3894791393.8 	 1151097338.7 	 310550215.4 
2.50 	 23499975201.0 	 3257940372.2 	 1147020758.5 	 257245975.4 
2.55 	 22460517785.1 	 3672751578.0 	 1212523553.3 	 245638791.6 
2.60 	 20598734633.5 	 3941692109.4 	 1112391468.5 	 203153095.3 
2.65 	 19087084947.7 	 3519570317.8 	 1042494373.9 	 222487444.4 
2.70 	 18792297941.0 	 3096110988.7 	 1084043752.3 	 204927758.2 
2.75 	 19050465038.8 	 2946552915.8 	 1015171885.4 	 206407975.9 
2.80 	 17867819732.5 	 2834392104.6 	 935168227.6 	 186379859.1 
2.85 	 18013126140.2 	 2427869039.8 	 983724820.4 	 198027230.2 
2.90 	 17138505618.9 	 2535585760.7 	 928396449.1 	 193081761.1 
2.95 	 18250785786.2 	 2066613494.0 	 869085110.8 	 198567829.6 
3.00 	 19656341938.6 	 2551681725.4 	 873231362.4 	 170895412.1 
3.05 	 16742482837.9 	 2552619992.5 	 826576331.2 	 174428888.2 
3.10 	 16707157142.3 	 2147448384.4 	 820775438.3 	 232802563.0 
3.15 	 15617502954.0 	 2602584969.7 	 868119689.9 	 156207674.6 
3.20 	 14835418657.2 	 2313311708.0 	 764334837.3 	 176837466.8 
3.25 	 15178608507.5 	 1971861295.0 	 786026422.3 	 175029676.1 
3.30 	 15982966878.0 	 2086972250.0 	 705274840.8 	 161973509.3 
3.35 	 15537034582.0 	 1303226141.8 	 667388541.9 	 169924619.4 
3.40 	 14736015900.9 	 1802047723.5 	 650481173.1 	 149255566.0 
3.45 	 14237046452.9 	 1521104662.4 	 626431627.3 	 160900926.5 
3.50 	 14502886921.9 	 1685787297.1 	 623718711.9 	 143059481.5 
3.55 	 13922304823.9 	 1349379162.2 	 608593218.0 	 122644812.0 
3.60 	 14321028713.4 	 1368593964.7 	 588315387.8 	 122781218.5 
3.65 	 13107136156.1 	 1202271499.6 	 581883862.8 	 132929216.0 
3.70 	 13965801334.6 	 1856587933.7 	 550227129.1 	 118466355.5 
3.75 	 13841217694.5 	 1488350287.7 	 516598470.6 	 100339449.7 
3.80 	 13054872623.3 	 1143328854.4 	 511472084.1 	 110511623.2 
3.85 	 13031281992.6 	 843691466.6 	 475475601.6 	 117730131.1 
3.90 	 13177865752.5 	 922177612.8 	 462560412.5 	 116241686.3 
3.95 	 13289975590.7 	 1074040063.0 	 449841079.6 	 96715122.3 
4.00 	 12561886265.0 	 952992234.5 	 426914805.4 	 101076423.7 
4.05 	 12834362395.0 	 1072103855.9 	 386758538.0 	 93033240.7 
4.10 	 11403629377.5 	 1157215329.0 	 387432517.1 	 94805408.3 
4.15 	 11659205632.7 	 942649761.1 	 370645441.2 	 93488746.6 
4.20 	 11520090498.2 	 791751099.9 	 377330547.6 	 97570365.0 
4.25 	 10827195145.7 	 1002823711.6 	 344647789.6 	 75097763.6 
4.30 	 11662186865.4 	 893646611.6 	 344391134.0 	 92783370.9 
4.35 	 11194941184.4 	 847589994.8 	 328186617.0 	 82379283.6 
4.40 	 10478959682.6 	 671169399.4 	 312156130.9 	 71521560.4 
4.45 	 10178665033.0 	 762044173.9 	 310901958.4 	 77843594.0 
4.50 	 9871138296.6 	 954009346.6 	 302728126.1 	 75185432.2 
4.55 	 9404024554.7 	 797138788.3 	 276036331.9 	 76059757.0 
4.60 	 9689899399.9 	 789878678.6 	 278779505.8 	 82343176.7 
4.65 	 9362373998.3 	 716300302.6 	 290398001.4 	 70546947.8 
4.70 	 8529963198.8 	 654399492.4 	 253660507.6 	 64194993.2 
4.75 	 8696436618.4 	 620480110.4 	 250391570.2 	 53722419.2 
4.80 	 8246724671.4 	 545918709.7 	 230350315.0 	 72727016.0 
4.85 	 8231960458.6 	 745153268.0 	 215659803.7 	 64400382.5 
4.90 	 7877084238.0 	 715191649.0 	 220059327.5 	 65974640.5 
4.95 	 7603464834.2 	 593296431.5 	 222209467.2 	 55605654.9 
5.00 	 8314444808.0 	 518722929.6 	 230713333.9 	 51108375.6 
5.05 	 7110010485.5 	 662272641.4 	 202254076.3 	 56806426.2 
5.10 	 6884125753.2 	 379271133.3 	 205286390.3 	 54483366.4 
5.15 	 6662924888.7 	 472170373.9 	 202597086.2 	 51461471.6 
5.20 	 6653953109.6 	 312520997.2 	 193699605.1 	 51139980.0 
5.25 	 6557818474.9 	 400201417.6 	 173340378.2 	 40285089.0 
5.30 	 5880566449.7 	 325266416.4 	 186444259.6 	 58362458.5 
5.35 	 5629601392.3 	 515992674.6 	 169785756.0 	 53691722.8 
5.40 	 6045963160.4 	 298563111.6 	 150974936.9 	 44007112.4 
5.45 	 5683430478.4 	 476678975.0 	 140329152.3 	 46850916.6 
5.50 	 6140769189.6 	 397233849.1 	 158333305.0 	 34988046.6 
5.55 	 5102625430.5 	 265310880.2 	 149273599.6 	 39115269.4 
5.60 	 4982977047.5 	 323615715.9 	 147794884.7 	 41779133.0 
5.65 	 5145604410.3 	 514414861.3 	 125503247.7 	 34342473.1 
5.70 	 4445529893.8 	 297442386.1 	 142197698.4 	 46619111.5 
5.75 	 4404411697.9 	 303964848.4 	 125495407.9 	 34706704.6 
5.80 	 4298593919.6 	 274810834.1 	 133486425.5 	 32831448.6 
5.85 	 4307841049.9 	 219172511.0 	 128980398.7 	 28335666.3 
5.90 	 4031917112.3 	 323814387.9 	 115570232.5 	 24984273.6 
5.95 	 4221259047.9 	 317260181.4 	 112764829.2 	 46404210.9 
6.00 	 3847305525.7 	 312798878.6 	 119460282.2 	 33427585.0 
6.05 	 3601527894.3 	 425747968.2 	 95110318.1 	 32992184.0 
6.10 	 3479824382.2 	 491983337.0 	 91280836.1 	 27002353.3 
6.15 	 3627016052.6 	 270600474.5 	 98936315.8 	 26720461.9 
6.20 	 3592838209.5 	 199025925.3 	 99352488.3 	 24297823.7 
6.25 	 3564587749.5 	 365312093.6 	 99446451.3 	 29833508.2 
6.30 	 3544737261.5 	 369721126.0 	 100670345.6 	 21124594.5 
6.35 	 3268628276.9 	 199802403.4 	 96203160.5 	 35258212.8 
6.40 	 3048263615.8 	 213472402.7 	 81955609.1 	 25140320.6 
6.45 	 3024322054.4 	 242094167.6 	 79320052.1 	 20666713.0 
6.50 	 3068096936.9 	 202633394.9 	 92982888.4 	 28756433.4 
6.55 	 3112684689.3 	 383898061.1 	 76394907.0 	 21040169.3 
6.60 	 2807842796.6 	 463882849.5 	 65306146.3 	 19774352.7 
6.65 	 2946144325.6 	 332621562.1 	 72374108.7 	 20173990.0 
6.70 	 2534130876.1 	 309893797.5 	 69279096.3 	 28418201.1 
6.75 	 2963311949.5 	 201420820.7 	 74573197.7 	 24515791.6 
6.80 	 2708191830.7 	 206608340.9 	 57845401.5 	 26315090.9 
6.85 	 2573543598.7 	 167111050.7 	 68431982.7 	 24441954.4 
6.90 	 2562556804.6 	 140320581.2 	 57546269.4 	 18514665.3 
6.95 	 2371242147.2 	 184372426.6 	 69613228.7 	 20731263.7 
7.00 	 2610122704.6 	 91196952.5 	 57950257.4 	 19898175.7 
7.05 	 2662738927.7 	 147358088.0 	 60165126.7 	 20564424.2 
7.10 	 2159078233.6 	 341316172.2 	 56434002.8 	 12035861.1 
7.15 	 2520800780.7 	 177698581.5 	 69818868.5 	 19507390.6 
7.20 	 2557201991.7 	 153347476.0 	 49610081.4 	 22073053.3 
7.25 	 1966127700.7 	 192274575.9 	 48303252.7 	 21233634.9 
7.30 	 2216045703.8 	 349870150.2 	 50084359.4 	 5999604.8 
7.35 	 2143438416.7 	 177375772.0 	 50876280.0 	 14031465.4 
7.40 	 2100635824.0 	 138257371.1 	 45759052.8 	 19679370.2 
7.45 	 2000963577.0 	 127682401.4 	 33086749.0 	 8745881.3 
7.50 	 1869771757.4 	 114504010.5 	 48419741.7 	 7989578.5 
