,CH_bin0,CH_bin1,CH_bin2,CH_bin3,CH_bin4,CH_bin5,H2O_bin0,H2O_bin1,H2O_bin2,H2O_bin3,H2O_bin4,H2O_bin5
CH_bin0,0.0416339,0.0472791,0.0492021,0.0860325,0.109929,0.0975267,0.0206952,0.0356924,0.0193625,0.0194606,0.0170229,0.0464506
CH_bin1,0.0472791,0.626782,0.043807,0.192481,0.289886,0.150731,0.0705206,-0.00476711,0.0595606,0.0704374,-0.0157229,0.0644174
CH_bin2,0.0492021,0.043807,0.195709,0.109125,0.198655,0.170052,0.0410958,0.0773975,0.016366,0.0657458,0.0429126,0.0690062
CH_bin3,0.0860325,0.192481,0.109125,0.788812,0.442393,0.244039,0.0389769,0.0481363,0.0599451,-0.0901268,0.00159302,0.121556
CH_bin4,0.109929,0.289886,0.198655,0.442393,1.38548,0.251048,0.0642753,0.0831099,0.0561116,0.0509168,-0.198111,0.166413
CH_bin5,0.0975267,0.150731,0.170052,0.244039,0.251048,1.00401,0.0453519,0.0471781,0.064499,0.0867615,0.0641289,0.0358206
H2O_bin0,0.0206952,0.0705206,0.0410958,0.0389769,0.0642753,0.0453519,0.114944,-0.101324,0.062314,0.0229191,00.24052,0.0765697
H2O_bin1,0.0356924,-0.00476711,0.0773975,0.0481363,0.0831099,0.0471781,-0.101324,0.918237,-0.0278341,0.390913,-0.128879,0.581642
H2O_bin2,0.0193625,0.0595606,0.016366,0.0599451,0.0561116,0.064499,0.062314,-0.0278341,0.21308,0.0392379,0.393812,0.371048
H2O_bin3,0.0194606,0.0704374,0.0657458,-0.0901268,0.0509168,0.0867615,0.0229191,0.390913,0.0392379,1.40929,-0.145314,0.612415
H2O_bin4,0.0170229,-0.0157229,0.0429126,0.00159302,-0.198111,0.0641289,0.24052,-0.128879,0.393812,-0.145314,2.64971,1.00027
H2O_bin5,0.0464506,0.0644174,0.0690062,0.121556,0.166413,0.0358206,0.0765697,0.581642,0.371048,0.612415,1.00027,2.44041
