,CH_bin0,CH_bin1,CH_bin2,CH_bin3,CH_bin4,CH_bin5,H2O_bin0,H2O_bin1,H2O_bin2,H2O_bin3,H2O_bin4,H2O_bin5
CH_bin0,0.334135,0.0160796,0.0109442,0.00952111,0.010126,0.000522681,-0.0140017,0.0713103,-0.010982,0.0156321,-0.00322691,4.46E-05
CH_bin1,0.0160796,0.288929,-0.00692164,0.052541,0.00236684,0.000624308,0.0725441,-0.0046649,0.0255911,0.00713793,0.00154218,0.000149603
CH_bin2,0.0109442,-0.00692164,0.175303,-0.0155458,0.00129593,-0.000104994,0.0519843,0.0296303,-0.000573904,0.00852691,0.00204989,0.000245812
CH_bin3,0.00952111,0.052541,-0.0155458,0.0671754,0.00202045,0.000262619,0.0375149,0.00676038,0.0214696,-0.00925813,0.00115398,7.22E-05
CH_bin4,0.010126,0.00236684,0.00129593,0.00202045,0.0139183,4.25E-05,0.00736399,0.00908959,0.00145685,0.00345942,-0.00328671,5.13E-05
CH_bin5,0.000522681,0.000624308,-0.000104994,0.000262619,4.25E-05,8.16E-06,0.000229315,0.000138521,4.60E-05,3.70E-05,1.04E-05,-0.000000394
H2O_bin0,-0.0140017,0.0725441,0.0519843,0.0375149,0.00736399,0.000229315,1.19394,0.0332688,0.307808,0.0489177,0.0184134,0.0023606
H2O_bin1,0.0713103,-0.0046649,0.0296303,0.00676038,0.00908959,0.000138521,0.0332688,0.361721,-0.0607791,0.0427893,-0.0124065,0.00131399
H2O_bin2,-0.010982,0.0255911,-0.000573904,0.0214696,0.00145685,4.60E-05,0.307808,-0.0607791,0.327812,-0.0406703,0.0288077,0.000403891
H2O_bin3,0.0156321,0.00713793,0.00852691,-0.00925813,0.00345942,3.70E-05,0.0489177,0.0427893,-0.0406703,0.0824566,-0.0281271,0.000485801
H2O_bin4,-0.00322691,0.00154218,0.00204989,0.00115398,-0.00328671,1.04E-05,0.0184134,-0.0124065,0.0288077,-0.0281271,0.0416007,-0.000241766
H2O_bin5,4.46E-05,0.000149603,0.000245812,7.22E-05,5.13E-05,-0.000000394,0.0023606,0.00131399,0.000403891,0.000485801,-0.000241766,1.90E-05
