bin1 bin2 cov
1 1 8.80738e-78
1 2 -1.40219e-79
1 3 -2.62442e-78
1 4 1.3404e-79
1 5 -4.77458e-79
1 6 -1.43716e-81
1 7 -8.41129e-79
1 8 2.90426e-80
2 1 -1.40219e-79
2 2 8.15169e-81
2 3 9.24554e-81
2 4 -2.31223e-81
2 5 4.47298e-81
2 6 -2.26828e-82
2 7 2.76659e-80
2 8 1.12918e-82
3 1 -2.62442e-78
3 2 9.24554e-81
3 3 8.83927e-77
3 4 -2.47843e-78
3 5 3.07417e-79
3 6 9.73487e-81
3 7 -7.71927e-79
3 8 -2.40886e-80
4 1 1.3404e-79
4 2 -2.31223e-81
4 3 -2.47843e-78
4 4 2.84258e-79
4 5 -8.51582e-81
4 6 -4.26202e-82
4 7 -3.61117e-80
4 8 -2.49674e-80
5 1 -4.77458e-79
5 2 4.47298e-81
5 3 3.07417e-79
5 4 -8.51582e-81
5 5 3.04776e-79
5 6 8.78919e-82
5 7 2.8679e-79
5 8 3.11103e-81
6 1 -1.43716e-81
6 2 -2.26828e-82
6 3 9.73487e-81
6 4 -4.26202e-82
6 5 8.78919e-82
6 6 3.21858e-82
6 7 1.27736e-80
6 8 4.21137e-82
7 1 -8.41129e-79
7 2 2.76659e-80
7 3 -7.71927e-79
7 4 -3.61117e-80
7 5 2.8679e-79
7 6 1.27736e-80
7 7 3.68887e-78
7 8 -8.36179e-81
8 1 2.90426e-80
8 2 1.12918e-82
8 3 -2.40886e-80
8 4 -2.49674e-80
8 5 3.11103e-81
8 6 4.21137e-82
8 7 -8.36179e-81
8 8 2.50906e-80
