bin E_1 E_2 flux_nue_best_fit flux_nue_nominal
1 0 0.1 9.95593e+08 9.85221e+08
2 0.1 0.2 4.44739e+09 4.40105e+09
3 0.2 0.3 7.26282e+09 7.18716e+09
4 0.3 0.4 8.90093e+09 8.8082e+09
5 0.4 0.5 9.37466e+09 9.27699e+09
6 0.5 0.6 8.96349e+09 8.85871e+09
7 0.6 0.7 8.01746e+09 7.9115e+09
8 0.7 0.8 6.88886e+09 6.79781e+09
9 0.8 0.9 5.76109e+09 5.67538e+09
10 0.9 1 4.6909e+09 4.62112e+09
11 1 1.1 3.86284e+09 3.80537e+09
12 1.1 1.2 3.26015e+09 3.21165e+09
13 1.2 1.3 2.71136e+09 2.67103e+09
14 1.3 1.4 2.38703e+09 2.35152e+09
15 1.4 1.5 2.13643e+09 2.10465e+09
16 1.5 1.6 1.97554e+09 1.9396e+09
17 1.6 1.7 1.85458e+09 1.82084e+09
18 1.7 1.8 1.7974e+09 1.7647e+09
19 1.8 1.9 1.68477e+09 1.65412e+09
20 1.9 2 1.59594e+09 1.5669e+09
21 2 2.1 1.51751e+09 1.4899e+09
22 2.1 2.2 1.44888e+09 1.42252e+09
23 2.2 2.3 1.3905e+09 1.3652e+09
24 2.3 2.4 1.33564e+09 1.31134e+09
25 2.4 2.6 1.22887e+09 1.19762e+09
26 2.6 2.8 1.12107e+09 1.09255e+09
27 2.8 3 9.81764e+08 9.56794e+08
28 3 3.2 8.39701e+08 8.18345e+08
29 3.2 3.4 7.23516e+08 7.05115e+08
30 3.4 3.6 6.39056e+08 6.22803e+08
31 3.6 3.8 5.46936e+08 5.33026e+08
32 3.8 4 4.65036e+08 4.53208e+08
33 4 4.5 3.58963e+08 3.44905e+08
34 4.5 5 2.40541e+08 2.3112e+08
35 5 6 1.39373e+08 1.33915e+08
36 6 7 6.87009e+07 6.60102e+07
37 7 8 3.44402e+07 3.30914e+07
38 8 9 1.68116e+07 1.61532e+07
39 9 10 9.01476e+06 8.6617e+06
40 10 11 4.53005e+06 4.35264e+06
41 11 12 2.16838e+06 2.08346e+06
42 12 13 926829 890531
43 13 14 761398 731579
44 14 15 133211 127994
45 15 16 133862 128620
46 16 17 106660 102482
47 17 18 1236.81 1188.37
48 18 19 2362.05 2269.54
49 19 20 4049.34 3890.75
50 20 21 0 0
51 21 22 0 0
52 22 23 0 0
53 23 24 0 0
54 24 25 0 0
55 25 26 0 0
56 26 27 0 0
57 27 28 0 0
58 28 29 0 0
